type,year,city,n
Yerli,2007,Kirklareli,6
Yerli,2007,Kirsehir,0
Yerli,2007,Kocaeli,21
Yerli,2007,Konya,3
Yerli,2007,Kutahya,4
Yerli,2007,Malatya,0
Yerli,2007,Manisa,0
Yerli,2007,Mardin,0
Yerli,2007,Mersin,5
Yerli,2007,Mugla,0
Yerli,2007,Mus,8
Yerli,2007,Nevsehir,0
Yerli,2007,Nigde,0
Yerli,2007,Ordu,4
Yerli,2007,Osmaniye,0
Yerli,2007,Rize,0
Yerli,2007,Sakarya,0
Yerli,2007,Samsun,10
Yerli,2007,Sanliurfa,7
Yerli,2007,Siirt,0
Yerli,2007,Sinop,1
Yerli,2007,Sirnak,0
Yerli,2007,Sivas,4
Yerli,2007,Tekirdag,0
Yerli,2007,Tokat,2
Yerli,2007,Trabzon,4
Yerli,2007,Tunceli,0
Yerli,2007,Usak,0
Yerli,2007,Van,14
Yerli,2007,Yalova,0
Yerli,2007,Yozgat,0
Yerli,2007,Zonguldak,0
Yerli,2008,Adana,15
Yerli,2008,Adiyaman,0
Yerli,2008,Afyonkarahisar,19
Yerli,2008,Agri,0
Yerli,2008,Aksaray,0
Yerli,2008,Amasya,0
Yerli,2008,Ankara,125
Yerli,2008,Antalya,51
Yerli,2008,Ardahan,0
Yerli,2008,Artvin,0
Yerli,2008,Aydin,0
Yerli,2008,Balikesir,0
Yerli,2008,Bartin,0
Yerli,2008,Batman,3
Yerli,2008,Bayburt,0
Yerli,2008,Bilecik,0
Yerli,2008,Bingol,0
Yerli,2008,Bitlis,1
Yerli,2008,Bolu,6
Yerli,2008,Burdur,7
Yerli,2008,Bursa,89
Yerli,2008,Canakkale,0
Yerli,2008,Cankiri,0
Yerli,2008,Corum,11
Yerli,2008,Denizli,0
Yerli,2008,Diyarbakir,7
Yerli,2008,Duzce,0
Yerli,2008,Edirne,0
Yerli,2008,Elazig,0
Yerli,2008,Erzincan,4
Yerli,2008,Erzurum,5
Yerli,2008,Eskisehir,11
Yerli,2008,Gaziantep,0
Yerli,2008,Giresun,2
Yerli,2008,Gumushane,0
Yerli,2008,Hakkari,9
