type,year,city,n
Yerli,2005,Karaman,0
Yerli,2005,Kars,1814
Yerli,2005,Kastamonu,0
Yerli,2005,Kayseri,9451
Yerli,2005,Kilis,0
Yerli,2005,Kirikkale,0
Yerli,2005,Kirklareli,0
Yerli,2005,Kirsehir,0
Yerli,2005,Kocaeli,28460
Yerli,2005,Konya,32671
Yerli,2005,Kutahya,0
Yerli,2005,Malatya,0
Yerli,2005,Manisa,0
Yerli,2005,Mardin,0
Yerli,2005,Mersin,96950
Yerli,2005,Mugla,0
Yerli,2005,Mus,4650
Yerli,2005,Nevsehir,0
Yerli,2005,Nigde,0
Yerli,2005,Ordu,34000
Yerli,2005,Osmaniye,0
Yerli,2005,Rize,0
Yerli,2005,Sakarya,0
Yerli,2005,Samsun,27243
Yerli,2005,Sanliurfa,920
Yerli,2005,Siirt,0
Yerli,2005,Sinop,12960
Yerli,2005,Sirnak,0
Yerli,2005,Sivas,12640
Yerli,2005,Tekirdag,25000
Yerli,2005,Tokat,1210
Yerli,2005,Trabzon,8007
Yerli,2005,Tunceli,0
Yerli,2005,Usak,0
Yerli,2005,Van,28765
Yerli,2005,Yalova,0
Yerli,2005,Yozgat,0
Yerli,2005,Zonguldak,0
Yerli,2006,Adana,47881
Yerli,2006,Adiyaman,0
Yerli,2006,Afyonkarahisar,0
Yerli,2006,Agri,0
Yerli,2006,Aksaray,0
Yerli,2006,Amasya,0
Yerli,2006,Ankara,503025
Yerli,2006,Antalya,25563
Yerli,2006,Ardahan,0
Yerli,2006,Artvin,0
Yerli,2006,Aydin,24175
Yerli,2006,Balikesir,0
Yerli,2006,Bartin,0
Yerli,2006,Batman,0
Yerli,2006,Bayburt,0
Yerli,2006,Bilecik,0
Yerli,2006,Bingol,0
Yerli,2006,Bitlis,8250
Yerli,2006,Bolu,0
Yerli,2006,Burdur,0
Yerli,2006,Bursa,113832
Yerli,2006,Canakkale,0
Yerli,2006,Cankiri,0
Yerli,2006,Corum,0
Yerli,2006,Denizli,0
Yerli,2006,Diyarbakir,44790
Yerli,2006,Duzce,0
Yerli,2006,Edirne,0
Yerli,2006,Elazig,0
Yerli,2006,Erzincan,0
Yerli,2006,Erzurum,7591
Yerli,2006,Eskisehir,5762
Yerli,2006,Gaziantep,0
Yerli,2006,Giresun,5220
Yerli,2006,Gumushane,600
Yerli,2006,Hakkari,5800
Yerli,2006,Hatay,4000
Yerli,2006,Igdir,0
Yerli,2006,Isparta,0
Yerli,2006,Istanbul,196697
Yerli,2006,Izmir,121986
Yerli,2006,Kahramanmaras,0
Yerli,2006,Karabuk,0
Yerli,2006,Karaman,0
Yerli,2006,Kars,11045
Yerli,2006,Kastamonu,0
Yerli,2006,Kayseri,0
Yerli,2006,Kilis,0
Yerli,2006,Kirikkale,0
Yerli,2006,Kirklareli,0
Yerli,2006,Kirsehir,0
Yerli,2006,Kocaeli,55500
Yerli,2006,Konya,35073
Yerli,2006,Kutahya,0
Yerli,2006,Malatya,0
Yerli,2006,Manisa,0
Yerli,2006,Mardin,0
Yerli,2006,Mersin,140200
Yerli,2006,Mugla,0
Yerli,2006,Mus,2310
Yerli,2006,Nevsehir,0
Yerli,2006,Nigde,0
Yerli,2006,Ordu,29943
Yerli,2006,Osmaniye,0
Yerli,2006,Rize,0
Yerli,2006,Sakarya,0
Yerli,2006,Samsun,42820
Yerli,2006,Sanliurfa,9000
Yerli,2006,Siirt,0
Yerli,2006,Sinop,250
Yerli,2006,Sirnak,0
Yerli,2006,Sivas,24653
Yerli,2006,Tekirdag,0
Yerli,2006,Tokat,2100
Yerli,2006,Trabzon,23773
Yerli,2006,Tunceli,0
Yerli,2006,Usak,0
